step,value,metric,seed
1000,0.9857438260729068,avg_clustering,seed000
2000,0.9738725738899856,avg_clustering,seed000
3000,0.966533907135568,avg_clustering,seed000
4000,0.9721611315429352,avg_clustering,seed000
5000,0.965829683345176,avg_clustering,seed000
6000,0.9663844141467264,avg_clustering,seed000
7000,0.9649584765710604,avg_clustering,seed000
8000,0.967929221998922,avg_clustering,seed000
9000,0.9300230026496524,avg_clustering,seed000
10000,0.9216695578869668,avg_clustering,seed000
11000,0.938582901685474,avg_clustering,seed000
12000,0.9550023418662454,avg_clustering,seed000
13000,0.96961005942913,avg_clustering,seed000
14000,0.963944275290444,avg_clustering,seed000
15000,0.9775914420431564,avg_clustering,seed000
16000,0.9827769569011634,avg_clustering,seed000
17000,0.9868765515226902,avg_clustering,seed000
18000,0.9736568971284976,avg_clustering,seed000
19000,0.9678961214346846,avg_clustering,seed000
20000,0.964204070135457,avg_clustering,seed000
21000,0.9595583925965072,avg_clustering,seed000
22000,0.9735737107630082,avg_clustering,seed000
23000,0.9700425785569096,avg_clustering,seed000
24000,0.9666482554859862,avg_clustering,seed000
25000,0.9668637455619168,avg_clustering,seed000
26000,0.9670962623682278,avg_clustering,seed000
27000,0.9665193298833996,avg_clustering,seed000
28000,0.9679223086968028,avg_clustering,seed000
29000,0.9644879177537864,avg_clustering,seed000
30000,0.9616724608332116,avg_clustering,seed000
1000,,avg_clustering_delta,seed000
2000,-0.0118712521829212,avg_clustering_delta,seed000
3000,-0.0073386667544176,avg_clustering_delta,seed000
4000,0.0056272244073672,avg_clustering_delta,seed000
5000,-0.0063314481977592,avg_clustering_delta,seed000
6000,0.0005547308015502,avg_clustering_delta,seed000
7000,-0.0014259375756658,avg_clustering_delta,seed000
8000,0.0029707454278616,avg_clustering_delta,seed000
9000,-0.0379062193492695,avg_clustering_delta,seed000
10000,-0.0083534447626858,avg_clustering_delta,seed000
11000,0.0169133437985073,avg_clustering_delta,seed000
12000,0.0164194401807713,avg_clustering_delta,seed000
13000,0.0146077175628844,avg_clustering_delta,seed000
14000,-0.0056657841386857,avg_clustering_delta,seed000
15000,0.0136471667527123,avg_clustering_delta,seed000
16000,0.0051855148580068,avg_clustering_delta,seed000
17000,0.0040995946215267,avg_clustering_delta,seed000
18000,-0.0132196543941927,avg_clustering_delta,seed000
19000,-0.0057607756938128,avg_clustering_delta,seed000
20000,-0.0036920512992276,avg_clustering_delta,seed000
21000,-0.0046456775389498,avg_clustering_delta,seed000
22000,0.0140153181665011,avg_clustering_delta,seed000
23000,-0.0035311322060986,avg_clustering_delta,seed000
24000,-0.0033943230709233,avg_clustering_delta,seed000
25000,0.0002154900759306,avg_clustering_delta,seed000
26000,0.0002325168063108,avg_clustering_delta,seed000
27000,-0.0005769324848281,avg_clustering_delta,seed000
28000,0.0014029788134031,avg_clustering_delta,seed000
29000,-0.0034343909430162,avg_clustering_delta,seed000
30000,-0.0028154569205748,avg_clustering_delta,seed000
1000,,avg_clustering_rel_change,seed000
2000,-0.0120429384074511,avg_clustering_rel_change,seed000
3000,-0.0075355513145877,avg_clustering_rel_change,seed000
4000,0.0058220662160153,avg_clustering_rel_change,seed000
5000,-0.0065127559540572,avg_clustering_rel_change,seed000
6000,0.0005743567536968,avg_clustering_rel_change,seed000
7000,-0.0014755386725943,avg_clustering_rel_change,seed000
8000,0.0030786251429368,avg_clustering_rel_change,seed000
9000,-0.0391621809609047,avg_clustering_rel_change,seed000
10000,-0.0089819765090612,avg_clustering_rel_change,seed000
11000,0.0183507675324365,avg_clustering_rel_change,seed000
12000,0.0174938624508138,avg_clustering_rel_change,seed000
13000,0.0152960018237635,avg_clustering_rel_change,seed000
14000,-0.0058433636115755,avg_clustering_rel_change,seed000
15000,0.0141576303760924,avg_clustering_rel_change,seed000
16000,0.0053043783271764,avg_clustering_rel_change,seed000
17000,0.0041714395038863,avg_clustering_rel_change,seed000
18000,-0.0133954488773652,avg_clustering_rel_change,seed000
19000,-0.0059166383053439,avg_clustering_rel_change,seed000
20000,-0.0038145119269152,avg_clustering_rel_change,seed000
21000,-0.0048181476129811,avg_clustering_rel_change,seed000
22000,0.0146060086333845,avg_clustering_rel_change,seed000
23000,-0.0036269798239839,avg_clustering_rel_change,seed000
24000,-0.0034991485383795,avg_clustering_rel_change,seed000
25000,0.0002229250140448,avg_clustering_rel_change,seed000
26000,0.0002404855982842,avg_clustering_rel_change,seed000
27000,-0.0005965615908961,avg_clustering_rel_change,seed000
28000,0.0014515786389626,avg_clustering_rel_change,seed000
29000,-0.003548209305807,avg_clustering_rel_change,seed000
30000,-0.0029191209850837,avg_clustering_rel_change,seed000
1000,0.9857438260729068,avg_clustering_rolling_avg,seed000
2000,0.9798081999814464,avg_clustering_rolling_avg,seed000
3000,0.9753834356994868,avg_clustering_rolling_avg,seed000
4000,0.970855870856163,avg_clustering_rolling_avg,seed000
5000,0.9681749073412264,avg_clustering_rolling_avg,seed000
6000,0.968125076344946,avg_clustering_rolling_avg,seed000
7000,0.965724191354321,avg_clustering_rolling_avg,seed000
8000,0.9664240375722364,avg_clustering_rolling_avg,seed000
9000,0.9543035670732116,avg_clustering_rolling_avg,seed000
10000,0.9398739275118472,avg_clustering_rolling_avg,seed000
11000,0.9300918207406976,avg_clustering_rolling_avg,seed000
12000,0.9384182671462288,avg_clustering_rolling_avg,seed000
13000,0.9543984343269498,avg_clustering_rolling_avg,seed000
14000,0.9628522255286066,avg_clustering_rolling_avg,seed000
15000,0.9703819255875769,avg_clustering_rolling_avg,seed000
16000,0.974770891411588,avg_clustering_rolling_avg,seed000
17000,0.9824149834890034,avg_clustering_rolling_avg,seed000
18000,0.9811034685174504,avg_clustering_rolling_avg,seed000
19000,0.976143190028624,avg_clustering_rolling_avg,seed000
20000,0.9685856962328796,avg_clustering_rolling_avg,seed000
21000,0.9638861947222164,avg_clustering_rolling_avg,seed000
22000,0.965778724498324,avg_clustering_rolling_avg,seed000
23000,0.9677248939721416,avg_clustering_rolling_avg,seed000
