step,avg_clustering,avg_clustering_delta,avg_clustering_rel_change,avg_clustering_rolling_avg,avg_degree,density,density_delta,density_rel_change,density_rolling_avg,largest_component_size,largest_component_size_delta,largest_component_size_rel_change,max_degree,modularity,num_components,num_edges,num_edges_delta,num_edges_rel_change,num_nodes,sae_sparsity,test_acc,test_acc_rolling_avg,train_acc,val_acc
1000,0.9850481929884994,,,0.9850481929884994,249.80782781862746,0.9801218494287479,,,0.9801218494287479,255.875,,,254.75,0.0004398671235690125,1.0,31959.75,,,255.875,0.7578448429703712,0.0630977683315621,0.0630977683315621,1.0,0.0630977683315621
2000,0.978481948553358,-0.006566244435141338,-0.00665249139259272,0.9817650707709287,247.00717294730393,0.9700773228828934,-0.010044526545854525,-0.010205295956309536,0.9750995861558206,255.625,-0.25,-0.0009746476715686375,254.125,0.0003196421803851625,1.0,31570.875,-388.875,-0.01212855714243365,255.625,0.7320101521909237,0.0787725823591923,0.0709351753453772,1.0,0.0787725823591923
3000,0.9715065107643021,-0.006975437789055963,-0.007126556835991262,0.9783455507687198,242.5309660791734,0.9539294099425467,-0.0161479129403465,-0.016643896236461536,0.968042860751396,255.25,-0.375,-0.0014686734068627375,253.0,0.0003277025887444875,1.0,30952.875,-618.0,-0.0195616775516908,255.25,0.7110635135322809,0.0860786397449521,0.0759829968119022,1.0,0.0860786397449521
4000,0.9826650503804203,0.011158539616118212,0.011495202048492751,0.9775511698993601,248.00509278022233,0.9744958187789448,0.02056640883639794,0.021642309953391163,0.9661675172014617,255.5,0.25,0.000990057120921475,253.875,0.001876707960340625,1.0,31682.375,729.5,0.02363467731886889,255.5,0.6990536656230688,0.0240435706695005,0.0629649309245483,0.9723551302498672,0.0240435706695005
5000,0.9695969727456254,-0.013068077634794862,-0.013285889290284101,0.9745895112967826,240.22357438910663,0.9476058601449486,-0.026889958633996125,-0.027586573920286975,0.9586770296221467,254.5,-1.0,-0.003900490437316675,251.875,0.0003528870246696625,1.0,30569.5,-1112.875,-0.03513508598634993,254.5,0.6898451801389456,0.048087141339001,0.0527364505844845,1.0,0.048087141339001
6000,0.9693001854287954,-0.0002967873168301,-0.00030434651352637506,0.9738540695182804,238.3483949640421,0.9439227551883392,-0.003683104956609325,-0.003795557903851175,0.955341478037411,253.5,-1.0,-0.003937083976094951,250.25,0.0002808409170119125,1.0,30214.0,-355.5,-0.011671290472680201,253.5,0.6897659935057163,0.0553931987247608,0.0425079702444208,1.0,0.0553931987247608
7000,0.9701564148263373,0.0008562293975419875,0.0008775888490710499,0.9696845243335861,240.0159884483134,0.9486740269976232,0.004751271809283876,0.005098914629440837,0.9467342141103037,254.0,0.5,0.001998211834706225,251.375,0.00028671994057647505,1.0,30483.875,269.875,0.0091181090476946,254.0,0.6951752547174692,0.0580499468650371,0.0538434289762663,1.0,0.0580499468650371
8000,0.9724445459512027,0.002288131124865325,0.002366875975514075,0.9706337154021117,241.4790581485582,0.951648200459263,0.0029741734616399746,0.0031561564680714005,0.948081660881742,254.75,0.75,0.002993729084014075,251.875,0.00030798123660329997,1.0,30758.625,274.75,0.009128926787110775,254.75,0.6978993583470583,0.0626992561105207,0.0587141339001062,1.0,0.0626992561105207
9000,0.9299586699436224,-0.042485876007580234,-0.04365805047883409,0.9575198769070541,210.80270529797437,0.8478980454086193,-0.10375015505064371,-0.10891379181068997,0.9160734242885018,249.625,-5.125,-0.020096336007053812,239.5,0.0,1.0,26311.75,-4446.875,-0.1443682803925542,249.625,0.5954334177076817,0.0437035069075451,0.0548175699610343,1.0,0.0437035069075451
10000,0.933805320959212,0.0038466510155895374,0.004152770914022088,0.9454028456180124,210.3968263806213,0.845875812730177,-0.002022232678442375,-0.0024966948914034873,0.8818073528660199,249.75,0.125,0.0005443753317130001,239.5,0.0,1.0,26272.375,-39.375,-0.00131984118887735,249.75,0.6054805740714073,0.0484856535600425,0.0516294721927028,1.0,0.0484856535600425
11000,0.9459010919393585,0.012095770980146525,0.012971910974812675,0.9365550276140643,222.2496596036965,0.8894924731883268,0.04361666045814976,0.051765952853322986,0.8610887771090411,250.875,1.125,0.004522025304846525,243.75,0.0,1.0,27877.625,1605.25,0.061359938292360146,250.875,0.632589915767312,0.055260361317747,0.0491498405951115,1.0,0.055260361317747
12000,0.9598020676223338,0.0139009756829752,0.014695108892915299,0.9465028268403014,234.70258574794966,0.9304712693797201,0.0409787961913933,0.04650824641792844,0.8886131850994079,253.25,2.375,0.009484318225282062,249.625,0.0,1.0,29719.125,1841.5,0.06646839284581174,253.25,0.6630856059491634,0.0605738575982996,0.054773290825363,1.0,0.0605738575982996
13000,0.9732847769629436,0.013482709340609775,0.014064647582320887,0.959662645508212,243.06423965960718,0.960724709623688,0.030253440243967863,0.03262469506308072,0.9268961507305783,254.0,0.75,0.0029841109868825,252.125,0.000182683994392225,1.0,30869.875,1150.75,0.03883724595188413,254.0,0.700394693762064,0.0632306057385759,0.0596882748848742,1.0,0.0632306057385759
14000,0.9646554724165988,-0.008629304546344788,-0.00885304805216895,0.9659141056672922,239.27881669030802,0.9406621161222807,-0.0200625935014073,-0.020839079548319876,0.9439526983752295,255.375,1.375,0.00543868909412195,252.25,0.00118376548895365,1.0,30552.875,-317.0,-0.010110093415111487,255.375,0.6797839049249887,0.0573857598299681,0.0603967410556146,1.0,0.0573857598299681
15000,0.974825699969268,0.010170227552669213,0.010554590392232988,0.9709219831162702,245.27676553236165,0.9642408308135313,0.023578714691250526,0.0251291344355751,0.9552092188531667,255.375,0.0,-1.929905820600075e-06,254.0,0.0016050468050348124,1.0,31319.0,766.125,0.025144920012950763,255.375,0.7066637743264437,0.0649574920297555,0.0618579525327665,1.0,0.0649574920297555
16000,0.9822037277343196,0.00737802776505145,0.007573417512112775,0.9738949667067288,249.01343826593137,0.9774873169001853,0.013246486086653988,0.013772332121699024,0.9607967546119991,255.75,0.375,0.0014802531993528374,254.75,0.00122737711696305,1.0,31842.5,523.5,0.016790203539508074,255.75,0.7318596187978983,0.0721307120085015,0.0648246546227417,1.0,0.0721307120085015
17000,0.9874517193740011,0.005247991639681487,0.0053473499024618626,0.9814937156925296,251.1118719362745,0.9852370648062374,0.007749747906052137,0.00794099612300975,0.9756550708399847,255.875,0.125,0.0004921109068627249,254.875,0.0007558908867305625,1.0,32126.625,284.125,0.008926879677432163,255.875,0.7496807146817446,0.078241232731137,0.0717764789231314,1.0,0.078241232731137
18000,0.9750825702382426,-0.012369149135758525,-0.012523866497856887,0.9815793391155211,244.05533368317168,0.9617555275294672,-0.0234815372767702,-0.02383136516542416,0.9748266364119633,254.75,-1.125,-0.00439453125,252.625,0.0006765741222623624,1.0,31088.25,-1038.375,-0.032330184923169476,254.75,0.6945914402604103,0.1353613177470775,0.0952444208289054,1.0,0.1353613177470775
19000,0.9653246980226018,-0.009757872215640662,-0.010013489161333837,0.9759529958782819,239.63486941929688,0.9438928861502442,-0.017862641379222898,-0.01854317402701105,0.9636284928286497,254.875,0.125,0.0004921259842519625,252.375,0.0010109488685115875,1.0,30539.625,-548.625,-0.017592548521433337,254.875,0.682675315067172,0.1579436769394261,0.1238487424725469,1.0,0.1579436769394261
20000,0.961632244404379,-0.003692453618222825,-0.0037954474077452377,0.9673465042217411,234.5705386321195,0.929454575297613,-0.014438310852631175,-0.015168444900047613,0.9450343296591082,253.375,-1.5,-0.005882443763078325,249.75,0.00028371360897905,1.0,29718.125,-821.5,-0.026774258680006675,253.375,0.6789534315466881,0.1794633368756641,0.1575894438540559,1.0,0.1794633368756641
21000,0.9570207299119825,-0.004611514492396387,-0.0047977556889963,0.9613258907796545,231.15279712621088,0.9163599861231799,-0.01309458917443305,-0.01396894559576425,0.9299024825236791,253.25,-0.125,-0.0004824455823996249,248.375,0.0,1.0,29270.625,-447.5,-0.014933904601247475,253.25,0.6778420899063349,0.2130712008501594,0.1834927382217499,1.0,0.2130712008501594
22000,0.9718782232608333,0.014857493348850713,0.015557226778910312,0.9635103991923982,240.79353012488068,0.950371757545912,0.03401177142273193,0.03738031520744825,0.932062106322235,254.375,1.125,0.004474166824764413,251.75,0.000403809193017875,1.0,30625.875,1355.25,0.0465981097582395,254.375,0.6651149112731218,0.8516206163655685,0.4147183846971307,1.0,0.8516206163655685
23000,0.970427569957539,-0.0014506533032943082,-0.0014912977817800202,0.9664421743767849,240.10027390074643,0.9499794643880003,-0.0003922931579116751,-0.00040234432801340003,0.9389037360190308,253.75,-0.625,-0.00245879137652875,251.25,0.0,1.0,30462.875,-163.0,-0.005322187266134862,253.75,0.6707285884767771,0.848432518597237,0.637708111937655,1.0,0.848432518597237
24000,0.9692295018586775,-0.00119806809886145,-0.0012386535780279,0.9705117650256833,239.476511925071,0.9498629364057246,-0.0001165279822756374,-8.32283854684501e-05,0.9500713861132123,253.125,-0.625,-0.0024627136659418,250.75,0.0,1.0,30309.5,-153.375,-0.0050547792201636,253.125,0.6755791697651148,0.845510095642933,0.8485210768685795,1.0,0.845510095642933
25000,0.9688668186265399,-0.00036268323213765007,-0.00036855045836538746,0.9695079634809187,237.96156261971345,0.947605525265027,-0.00225741114069765,-0.0023575493731435374,0.9491493086862506,252.125,-1.0,-0.0039488808524028255,249.75,0.0,1.0,29999.125,-310.375,-0.010247122587757363,252.125,0.6792099215090275,0.8372741764080766,0.8437389302160822,1.0,0.8372741764080766
26000,0.9672419272347621,-0.0016248913917777377,-0.001678050851826025,0.9684460825733264,235.83304705787685,0.9395983285884286,-0.008007196676598325,-0.008446783442294112,0.9456889300863933,252.0,-0.125,-0.00048431409455583746,248.875,0.0,1.0,29715.5,-283.625,-0.0094133836278386,252.0,0.6808380726724863,0.8285069075451648,0.8370970598653914,1.0,0.8285069075451648
27000,0.9658247342859123,-0.0014171929488497376,-0.00146228170987775,0.9673111600490714,234.82429403191927,0.938816387131616,-0.0007819414568125376,-0.0008009983242511129,0.9420067469950238,251.125,-0.875,-0.00345443414904955,248.125,0.0,1.0,29486.0,-229.5,-0.007751357855961763,251.125,0.6826915573328733,0.8148246546227418,0.8268685795253278,1.0,0.8148246546227418
