checkpoint,step,test_acc,train_acc,val_acc,num_nodes,num_edges,density,avg_degree,max_degree,num_components,largest_component_size,avg_clustering,modularity,sae_sparsity,density_delta,density_rel_change,avg_clustering_delta,avg_clustering_rel_change,num_edges_delta,num_edges_rel_change,largest_component_size_delta,largest_component_size_rel_change,test_acc_rolling_avg,density_rolling_avg,avg_clustering_rolling_avg
checkpoint_step_01000,1000,0.06309776833156217,1.0,0.06309776833156217,256,32363,0.9915134803921568,252.8359375,255,1,256,0.9922899073526353,0.00030397997067928837,0.7955248653888702,,,,,,,,,0.06309776833156217,0.9915134803921568,0.9922899073526353
checkpoint_step_02000,2000,0.07877258235919235,1.0,0.07877258235919235,256,31789,0.9739276960784313,248.3515625,255,1,256,0.97836204655698,0.0003871086426892444,0.7361059486865997,-0.017585784313725483,-0.017736303803726483,-0.013927860795655334,-0.014036080274981266,-574.0,-0.017736303803726483,0.0,0.0,0.07093517534537726,0.9827205882352941,0.9853259769548077
checkpoint_step_03000,3000,0.08607863974495218,1.0,0.08607863974495218,254,30986,0.9643646322865769,243.98425196850394,253,1,254,0.9717311128114461,0.0,0.7215638011693954,-0.009563063791854454,-0.009819069557586935,-0.006630933745533918,-0.006777586854344264,-803.0,-0.025260310170184708,-2.0,-0.0078125,0.07598299681190224,0.9766019362523884,0.9807943555736872
checkpoint_step_04000,4000,0.02404357066950053,0.9723551302498671,0.02404357066950053,255,31679,0.9781997838505481,248.46274509803922,254,1,255,0.98219726243412,0.0,0.6833774894475937,0.013835151563971193,0.014346390463498393,0.010466149622673893,0.01077062315355204,693.0,0.022364939004711815,1.0,0.003937007874015741,0.06296493092454836,0.9721640374051854,0.9774301406008488
checkpoint_step_05000,5000,0.04808714133900106,1.0,0.04808714133900106,254,30553,0.9508885499984439,240.5748031496063,252,1,254,0.9669624619096604,0.0,0.669538825750351,-0.02731123385210421,-0.027919893566728637,-0.01523480052445958,-0.015510937677329806,-1126.0,-0.035544051264244425,-1.0,-0.0039215686274509665,0.05273645058448459,0.9644843220451896,0.9736302790517422
checkpoint_step_06000,6000,0.055393198724760895,1.0,0.055393198724760895,251,29695,0.9464541832669323,236.61354581673308,248,1,251,0.9673937885876744,0.0,0.6589746177196503,-0.004434366731511541,-0.004663392709396752,0.00043132667801404345,0.00044606351849707515,-858.0,-0.02808234870552806,-3.0,-0.011811023622047223,0.04250797024442083,0.9585141723719747,0.9721845043104849
checkpoint_step_07000,7000,0.05804994686503719,1.0,0.05804994686503719,252,29955,0.9471637260481882,237.73809523809524,249,1,252,0.9688065771286294,0.0,0.6713184416294098,0.0007095427812559008,0.0007496852925374942,0.0014127885409549457,0.0014604068763119926,260.0,0.008755682774877815,1.0,0.003984063745019917,0.05384342897626639,0.9481688197711882,0.967720942541988
checkpoint_step_08000,8000,0.06269925611052073,1.0,0.06269925611052073,255,30928,0.9550100355102671,242.57254901960783,252,1,255,0.9731396170185951,0.0,0.6877413839101791,0.007846309462078871,0.00828400544308816,0.004333039889965695,0.004472554163296616,973.0,0.0324820564179602,3.0,0.011904761904761862,0.05871413390010627,0.9495426482751292,0.9697799942449663
checkpoint_step_09000,9000,0.04370350690754517,1.0,0.04370350690754517,252,26613,0.8414911781445646,211.21428571428572,242,1,252,0.9360231307962154,0.0,0.6125062108039856,-0.11351885736570244,-0.1188666643749442,-0.03711648622237973,-0.03814096720889182,-4315.0,-0.13951758923952406,-3.0,-0.0117647058823529,0.05481756996103435,0.9145549799010065,0.95932310831448
checkpoint_step_10000,10000,0.04848565356004251,1.0,0.04848565356004251,245,27059,0.9052860488457678,220.88979591836735,241,1,245,0.9469980592822425,0.0,0.6369011998176575,0.06379487070120315,0.0758116928116428,0.010974928486027102,0.011725061192335628,446.0,0.016758726937962543,-7.0,-0.02777777777777779,0.0516294721927028,0.9005957541668664,0.9520536023656843
